Overlap Details for Eigenstate 2
=====================================

Point | Overlap | Phase Corrected | Phase (radians) | Phase (degrees) | Berry Connection
-----------------------------------------------------------------------------------
0 -> 1 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
1 -> 2 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
2 -> 3 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
3 -> 4 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
4 -> 5 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
5 -> 6 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
6 -> 7 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
7 -> 8 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
8 -> 9 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
9 -> 10 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
10 -> 11 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
11 -> 12 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
12 -> 13 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
13 -> 14 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
14 -> 15 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
15 -> 16 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
16 -> 17 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
17 -> 18 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
18 -> 19 | 0.000000 | Yes | 0.000000 | 0.000000 | 11.459155902616462
19 -> 20 | 0.980489 | Yes | 0.000000 | 0.000000 | 0.22358518827489518
20 -> 21 | 0.997585 | Yes | 0.000000 | 0.000000 | 0.027673126873843153
21 -> 22 | 0.999429 | Yes | 0.000000 | 0.000000 | 0.006539618751556488
22 -> 23 | 0.999807 | Yes | 0.000000 | 0.000000 | 0.0022143278607632843
23 -> 24 | 0.999919 | Yes | 0.000000 | 0.000000 | 0.0009273944303707966
24 -> 25 | 0.999961 | Yes | 0.000000 | 0.000000 | 0.0004452428837134929
25 -> 26 | 0.999980 | Yes | 0.000000 | 0.000000 | 0.00023441291566579135
26 -> 27 | 0.999989 | Yes | 0.000000 | 0.000000 | 0.0001314852720276881
27 -> 28 | 0.999993 | Yes | 0.000000 | 0.000000 | 7.694559891529239e-05
28 -> 29 | 0.999996 | Yes | 0.000000 | 0.000000 | 4.61801410435105e-05
29 -> 30 | 0.999998 | Yes | 0.000000 | 0.000000 | 2.7968563571851605e-05
30 -> 31 | 0.999999 | Yes | 0.000000 | 0.000000 | 1.6789591253410067e-05
31 -> 32 | 0.999999 | Yes | 0.000000 | 0.000000 | 9.756545313480514e-06
32 -> 33 | 1.000000 | Yes | 0.000000 | 0.000000 | 5.287794772132733e-06
33 -> 34 | 1.000000 | Yes | 0.000000 | 0.000000 | 2.4888866251281197e-06
34 -> 35 | 1.000000 | Yes | 0.000000 | 0.000000 | 8.498162945225015e-07
35 -> 36 | 1.000000 | Yes | 0.000000 | 0.000000 | 9.198063378820182e-08
36 -> 37 | 1.000000 | Yes | 0.000000 | 0.000000 | 9.198063378820182e-08
37 -> 38 | 1.000000 | Yes | 0.000000 | 0.000000 | 8.498162932502797e-07
38 -> 39 | 1.000000 | Yes | 0.000000 | 0.000000 | 2.488886623855898e-06
39 -> 40 | 1.000000 | Yes | 0.000000 | 0.000000 | 5.287794772132733e-06
40 -> 41 | 0.999999 | Yes | 0.000000 | 0.000000 | 9.756545313480514e-06
41 -> 42 | 0.999999 | Yes | 0.000000 | 0.000000 | 1.6789591255954513e-05
42 -> 43 | 0.999998 | Yes | 0.000000 | 0.000000 | 2.7968563574396048e-05
43 -> 44 | 0.999996 | Yes | 0.000000 | 0.000000 | 4.6180141042238274e-05
44 -> 45 | 0.999993 | Yes | 0.000000 | 0.000000 | 7.694559891529239e-05
45 -> 46 | 0.999989 | Yes | 0.000000 | 0.000000 | 0.0001314852720276881
46 -> 47 | 0.999980 | Yes | 0.000000 | 0.000000 | 0.00023441291566451912
47 -> 48 | 0.999961 | Yes | 0.000000 | 0.000000 | 0.00044524288371603735
48 -> 49 | 0.999919 | Yes | 0.000000 | 0.000000 | 0.0009273944303733411
49 -> 50 | 0.999807 | Yes | 0.000000 | 0.000000 | 0.00221432786076074
50 -> 51 | 0.999429 | Yes | 0.000000 | 0.000000 | 0.006539618751553943
51 -> 52 | 0.997585 | Yes | 0.000000 | 0.000000 | 0.027673126873843153
52 -> 53 | 0.980489 | Yes | 0.000000 | 0.000000 | 0.22358518827489263
53 -> 54 | 0.000000 | No | 0.000000 | 0.000000 | 11.459155902616464
54 -> 55 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
55 -> 56 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
56 -> 57 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
57 -> 58 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
58 -> 59 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
59 -> 60 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
60 -> 61 | 1.000000 | No | 0.000000 | 0.000000 | 1.2722218725854067e-15
61 -> 62 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
62 -> 63 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
63 -> 64 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
64 -> 65 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
65 -> 66 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
66 -> 67 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
67 -> 68 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
68 -> 69 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
69 -> 70 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
70 -> 71 | 1.000000 | No | 0.000000 | 0.000000 | -0.0
71 -> 0 | 1.000000 | No | 0.000000 | 0.000000 | N/A

Total Berry Phase (Phase method): 0.000000 radians = 0.000000 degrees
Total Berry Phase (Connection method): 2.045717 radians = 117.210931 degrees
