Overlap Details for Eigenstate 0
=====================================

Point | Overlap | Phase Corrected | Phase (radians) | Phase (degrees) | Berry Connection
-----------------------------------------------------------------------------------
0 -> 1 | 0.999997 | Yes | 0.000000 | 0.000000 | 3.908912269957425e-05
1 -> 2 | 0.999968 | No | 0.000000 | 0.000000 | 0.0003718130208836704
2 -> 3 | 0.999899 | Yes | 0.000000 | 0.000000 | 0.0011546473567155512
3 -> 4 | 0.999766 | Yes | 0.000000 | 0.000000 | 0.0026800498483899103
4 -> 5 | 0.999515 | No | 0.000000 | 0.000000 | 0.005563151332327993
5 -> 6 | 0.999036 | Yes | 0.000000 | 0.000000 | 0.011047130461739368
6 -> 7 | 0.998123 | No | 0.000000 | 0.000000 | 0.021506720546423663
7 -> 8 | 0.996450 | No | 0.000000 | 0.000000 | 0.04067786760654155
8 -> 9 | 0.993812 | No | 0.000000 | 0.000000 | 0.07090631386923146
9 -> 10 | 0.991030 | Yes | 0.000000 | 0.000000 | 0.10279337562542591
10 -> 11 | 0.990312 | Yes | 0.000000 | 0.000000 | 0.11102088994908403
11 -> 12 | 0.992391 | Yes | 0.000000 | 0.000000 | 0.087189075237371
12 -> 13 | 0.995248 | Yes | 0.000000 | 0.000000 | 0.054455463063250366
13 -> 14 | 0.997332 | Yes | 0.000000 | 0.000000 | 0.0305779534790151
14 -> 15 | 0.998533 | Yes | 0.000000 | 0.000000 | 0.01681055971394371
15 -> 16 | 0.999177 | Yes | 0.000000 | 0.000000 | 0.009428798835007666
16 -> 17 | 0.999522 | Yes | 0.000000 | 0.000000 | 0.00547580209533609
17 -> 18 | 0.999712 | Yes | 0.000000 | 0.000000 | 0.003300959793973874
18 -> 19 | 0.999820 | Yes | 0.000000 | 0.000000 | 0.0020604886519360226
19 -> 20 | 0.999884 | Yes | 0.000000 | 0.000000 | 0.0013262893398901813
20 -> 21 | 0.999924 | Yes | 0.000000 | 0.000000 | 0.000876358967866094
21 -> 22 | 0.999948 | Yes | 0.000000 | 0.000000 | 0.0005918091328677143
22 -> 23 | 0.999965 | Yes | 0.000000 | 0.000000 | 0.00040673130145180234
23 -> 24 | 0.999975 | Yes | 0.000000 | 0.000000 | 0.0002833343196219654
24 -> 25 | 0.999983 | Yes | 0.000000 | 0.000000 | 0.0001992548854213761
25 -> 26 | 0.999988 | Yes | 0.000000 | 0.000000 | 0.00014087125897094017
26 -> 27 | 0.999991 | Yes | 0.000000 | 0.000000 | 9.966626460184109e-05
27 -> 28 | 0.999994 | Yes | 0.000000 | 0.000000 | 7.018793133968786e-05
28 -> 29 | 0.999996 | Yes | 0.000000 | 0.000000 | 4.8873102115187445e-05
29 -> 30 | 0.999997 | Yes | 0.000000 | 0.000000 | 3.335094413448991e-05
30 -> 31 | 0.999998 | Yes | 0.000000 | 0.000000 | 2.2020772496984877e-05
31 -> 32 | 0.999999 | Yes | 0.000000 | 0.000000 | 1.3790808032713655e-05
32 -> 33 | 0.999999 | Yes | 0.000000 | 0.000000 | 7.913758220233327e-06
33 -> 34 | 1.000000 | Yes | 0.000000 | 0.000000 | 3.882158326262822e-06
34 -> 35 | 1.000000 | Yes | 0.000000 | 0.000000 | 1.3616646171155252e-06
35 -> 36 | 1.000000 | Yes | 0.000000 | 0.000000 | 1.4934603147838232e-07
36 -> 37 | 1.000000 | Yes | 0.000000 | 0.000000 | 1.4934603147838232e-07
37 -> 38 | 1.000000 | Yes | 0.000000 | 0.000000 | 1.3616646158433033e-06
38 -> 39 | 1.000000 | Yes | 0.000000 | 0.000000 | 3.882158323718378e-06
39 -> 40 | 0.999999 | Yes | 0.000000 | 0.000000 | 7.913758221505549e-06
40 -> 41 | 0.999999 | Yes | 0.000000 | 0.000000 | 1.3790808033985878e-05
41 -> 42 | 0.999998 | Yes | 0.000000 | 0.000000 | 2.20207724982571e-05
42 -> 43 | 0.999997 | Yes | 0.000000 | 0.000000 | 3.335094413448991e-05
43 -> 44 | 0.999996 | Yes | 0.000000 | 0.000000 | 4.8873102115187445e-05
44 -> 45 | 0.999994 | Yes | 0.000000 | 0.000000 | 7.018793133968786e-05
45 -> 46 | 0.999991 | Yes | 0.000000 | 0.000000 | 9.966626460184109e-05
46 -> 47 | 0.999988 | Yes | 0.000000 | 0.000000 | 0.00014087125897094017
47 -> 48 | 0.999983 | Yes | 0.000000 | 0.000000 | 0.00019925488542010388
