Berry Phase Results
==================

Theoretical geometric phase for perfect circle: 3.141593 radians = 180.000000 degrees

Berry Phase for Each Eigenstate:
-----------------------------
Eigenstate 0:
  Normalized Berry Phase: -0.000000 radians = -0.000000 degrees
  Raw sum of phases: 43.982297 radians
  Unwrapped sum: 43.982297 radians
  Difference from theoretical: 0.000000 radians

Eigenstate 1:
  Normalized Berry Phase: 0.000000 radians = 0.000000 degrees
  Raw sum of phases: 18.849556 radians
  Unwrapped sum: 18.849556 radians
  Difference from theoretical: 0.000000 radians

Eigenstate 2:
  Normalized Berry Phase: 0.000000 radians = 0.000000 degrees
  Raw sum of phases: 25.132741 radians
  Unwrapped sum: 25.132741 radians
  Difference from theoretical: 3.141593 radians

Eigenstate 3:
  Normalized Berry Phase: -0.000000 radians = -0.000000 degrees
  Raw sum of phases: 56.548668 radians
  Unwrapped sum: 56.548668 radians
  Difference from theoretical: 0.000000 radians


Detailed Overlap Information:
---------------------------

Eigenstate 0:
Point | Overlap Magnitude | Overlap Phase (rad) | Phase (deg)
----------------------------------------------------------
0 -> 1 | 0.999997 | 3.141593 | 180.000000
1 -> 2 | 0.872821 | 0.000000 | 0.000000
2 -> 3 | 0.990312 | 0.000000 | 0.000000
3 -> 4 | 0.992391 | 0.000000 | 0.000000
4 -> 5 | 0.995248 | 0.000000 | 0.000000
5 -> 6 | 0.997332 | 0.000000 | 0.000000
6 -> 7 | 0.998533 | 0.000000 | 0.000000
7 -> 8 | 0.999177 | 0.000000 | 0.000000
8 -> 9 | 0.999522 | 0.000000 | 0.000000
9 -> 10 | 0.999712 | 0.000000 | 0.000000
10 -> 11 | 0.999820 | 0.000000 | 0.000000
11 -> 12 | 0.450279 | 3.141593 | 180.000000
12 -> 13 | 0.436643 | 3.141593 | 180.000000
13 -> 14 | 0.999924 | 0.000000 | 0.000000
14 -> 15 | 0.999948 | 0.000000 | 0.000000
15 -> 16 | 0.999965 | 0.000000 | 0.000000
16 -> 17 | 0.999975 | 0.000000 | 0.000000
17 -> 18 | 0.999983 | 0.000000 | 0.000000
18 -> 19 | 0.999988 | 0.000000 | 0.000000
19 -> 20 | 0.999991 | 0.000000 | 0.000000
20 -> 21 | 0.999994 | 0.000000 | 0.000000
21 -> 22 | 0.999996 | 0.000000 | 0.000000
22 -> 23 | 0.395511 | 0.000000 | 0.000000
23 -> 24 | 0.393294 | 0.000000 | 0.000000
24 -> 25 | 0.999998 | 0.000000 | 0.000000
25 -> 26 | 0.999999 | 0.000000 | 0.000000
26 -> 27 | 0.999999 | 0.000000 | 0.000000
27 -> 28 | 1.000000 | 0.000000 | 0.000000
28 -> 29 | 1.000000 | 0.000000 | 0.000000
29 -> 30 | 1.000000 | 0.000000 | 0.000000
30 -> 31 | 1.000000 | 0.000000 | 0.000000
31 -> 32 | 1.000000 | 0.000000 | 0.000000
32 -> 33 | 1.000000 | 0.000000 | 0.000000
33 -> 34 | 0.408806 | 0.000000 | 0.000000
34 -> 35 | 0.409878 | 0.000000 | 0.000000
35 -> 36 | 0.999999 | 0.000000 | 0.000000
36 -> 37 | 0.999998 | 0.000000 | 0.000000
37 -> 38 | 0.999997 | 0.000000 | 0.000000
38 -> 39 | 0.999996 | 0.000000 | 0.000000
39 -> 40 | 0.999994 | 0.000000 | 0.000000
40 -> 41 | 0.999991 | 0.000000 | 0.000000
41 -> 42 | 0.999988 | 0.000000 | 0.000000
42 -> 43 | 0.999983 | 0.000000 | 0.000000
43 -> 44 | 0.999975 | 0.000000 | 0.000000
44 -> 45 | 0.468748 | 3.141593 | 180.000000
45 -> 46 | 0.476173 | 3.141593 | 180.000000
46 -> 47 | 0.999948 | 0.000000 | 0.000000
47 -> 48 | 0.999924 | 0.000000 | 0.000000
48 -> 49 | 0.999884 | 0.000000 | 0.000000
49 -> 50 | 0.999820 | 0.000000 | 0.000000
50 -> 51 | 0.999712 | 0.000000 | 0.000000
51 -> 52 | 0.999522 | 0.000000 | 0.000000
52 -> 53 | 0.999177 | 0.000000 | 0.000000
53 -> 54 | 0.998533 | 0.000000 | 0.000000
54 -> 55 | 0.997332 | 0.000000 | 0.000000
55 -> 56 | 0.730891 | 0.000000 | 0.000000
56 -> 57 | 0.793873 | 0.000000 | 0.000000
57 -> 58 | 0.992391 | 0.000000 | 0.000000
58 -> 59 | 0.990312 | 0.000000 | 0.000000
59 -> 60 | 0.991030 | 3.141593 | 180.000000
60 -> 61 | 0.993812 | 3.141593 | 180.000000
61 -> 62 | 0.996450 | 3.141593 | 180.000000
62 -> 63 | 0.998123 | 3.141593 | 180.000000
63 -> 64 | 0.999036 | 3.141593 | 180.000000
64 -> 65 | 0.999515 | 0.000000 | 0.000000
65 -> 66 | 0.999766 | 3.141593 | 180.000000
66 -> 67 | 0.987547 | 3.141593 | 180.000000
67 -> 68 | 0.985215 | 0.000000 | 0.000000
68 -> 69 | 0.999968 | 3.141593 | 180.000000
69 -> 70 | 0.965221 | 3.141593 | 180.000000
70 -> 71 | 0.993812 | 0.000000 | 0.000000
71 -> 0 | 0.929250 | 0.000000 | 0.000000

Eigenstate 1:
Point | Overlap Magnitude | Overlap Phase (rad) | Phase (deg)
----------------------------------------------------------
0 -> 1 | 0.999997 | 0.000000 | 0.000000
1 -> 2 | 0.872837 | 0.000000 | 0.000000
2 -> 3 | 0.990304 | 0.000000 | 0.000000
3 -> 4 | 0.992372 | 0.000000 | 0.000000
4 -> 5 | 0.995204 | 0.000000 | 0.000000
5 -> 6 | 0.997226 | 0.000000 | 0.000000
6 -> 7 | 0.998250 | 0.000000 | 0.000000
7 -> 8 | 0.998213 | 0.000000 | 0.000000
8 -> 9 | 0.994372 | 0.000000 | 0.000000
9 -> 10 | 0.943524 | 0.000000 | 0.000000
