Theta (degrees) | Eigenvalue 0 | Eigenvalue 1 | Eigenvalue 2 | Eigenvalue 3 | Diff(1-2)
--------------------------------------------------------------------------------
           0.0 |    0.096850 |    1.057077 |    1.231237 |    1.249835 |  0.174160
           5.0 |    0.096851 |    1.057532 |    1.227265 |    1.253352 |  0.169732
          10.0 |    0.096870 |    1.098603 |    1.139558 |    1.299970 |  0.040954
          15.0 |    0.096871 |    1.105289 |    1.131505 |    1.301336 |  0.026216
          20.0 |    0.096871 |    1.108763 |    1.127574 |    1.301793 |  0.018811
          25.0 |    0.096871 |    1.105289 |    1.131505 |    1.301336 |  0.026216
          30.0 |    0.096870 |    1.098603 |    1.139558 |    1.299970 |  0.040954
          35.0 |    0.096868 |    1.091520 |    1.148906 |    1.297706 |  0.057386
          40.0 |    0.096866 |    1.084756 |    1.158813 |    1.294565 |  0.074058
          45.0 |    0.096863 |    1.078550 |    1.169010 |    1.290577 |  0.090460
          50.0 |    0.096464 |    1.072363 |    1.135612 |    1.285561 |  0.063250
          55.0 |    0.096858 |    1.068245 |    1.189666 |    1.280230 |  0.121421
          60.0 |    0.096852 |    1.058892 |    1.219169 |    1.260087 |  0.160276
          65.0 |    0.096856 |    1.064274 |    1.199871 |    1.273999 |  0.135598
          70.0 |    0.096854 |    1.061146 |    1.209795 |    1.267205 |  0.148648
          75.0 |    0.096852 |    1.058892 |    1.219169 |    1.260087 |  0.160276
          80.0 |    0.096851 |    1.057532 |    1.227265 |    1.253352 |  0.169732
          85.0 |    0.096850 |    1.057077 |    1.231237 |    1.249835 |  0.174160
          90.0 |    0.096851 |    1.057532 |    1.227265 |    1.253352 |  0.169732
          95.0 |    0.096852 |    1.058892 |    1.219169 |    1.260087 |  0.160276
         100.0 |    0.096854 |    1.061146 |    1.209795 |    1.267205 |  0.148648
         105.0 |    0.096856 |    1.064274 |    1.199871 |    1.273999 |  0.135598
         110.0 |    0.096858 |    1.068245 |    1.189666 |    1.280230 |  0.121421
         115.0 |    0.096854 |    1.061146 |    1.209795 |    1.267205 |  0.148648
         120.0 |    0.096464 |    1.072363 |    1.135612 |    1.285561 |  0.063250
